,,,,,,,
,,,,Tons to Guatemala,6,,
,,,,Tons to United Kingdom,6,,
,,,,Tons to France,6,,
,,,,Tons to Honduras,4,,
,,,,Tons to Cuba,4,,
,,,,Tons to Jamaica,4,,
,,,,Tons to Morocco,3,,
,,,,Tons to Suriname,1,,
,,,,Tons to Guinea-Bissau,1,,
,,,,Tons to Nicaragua,0,,
,,,,Tons to Western Sahara,0,,
,,,,Tons to Spain,0,,
,,,,Tons to Germany,0,,
